match_type,date,team1,team2,venue,city,toss_winner,toss_decision,match_winner,result,win_by_runs,win_by_wickets
odi,2022-12-01,Namibia,Scotland,"United Cricket Club Ground, Windhoek",Windhoek,Scotland,field,Scotland,,0,4
odi,2022-12-02,Nepal,Namibia,"United Cricket Club Ground, Windhoek",Windhoek,Namibia,field,,no result,0,0
odi,2022-12-04,Nepal,Scotland,"United Cricket Club Ground, Windhoek",Windhoek,Scotland,field,Scotland,,0,3
odi,2022-12-05,Scotland,Namibia,"United Cricket Club Ground, Windhoek",Windhoek,Namibia,field,Namibia,,0,3
odi,2022-12-07,Namibia,Nepal,"United Cricket Club Ground, Windhoek",Windhoek,Nepal,field,Namibia,,86,0
odi,2022-12-08,Nepal,Scotland,"United Cricket Club Ground, Windhoek",Windhoek,Nepal,bat,Scotland,,0,8
odi,2022-11-14,United Arab Emirates,Nepal,"Tribhuvan University International Cricket Ground, Kirtipur",Kirtipur,Nepal,field,United Arab Emirates,,84,0
odi,2022-11-16,United Arab Emirates,Nepal,"Tribhuvan University International Cricket Ground, Kirtipur",Kirtipur,United Arab Emirates,bat,Nepal,,0,3
odi,2022-11-18,United Arab Emirates,Nepal,"Tribhuvan University International Cricket Ground, Kirtipur",Kirtipur,Nepal,field,Nepal,,0,6
odi,2022-12-04,England,West Indies,"Sir Vivian Richards Stadium, North Sound, Antigua",North Sound,West Indies,field,England,,142,0
odi,2022-12-06,England,West Indies,"Sir Vivian Richards Stadium, North Sound, Antigua",North Sound,England,bat,England,,142,0
odi,2022-12-09,England,West Indies,"Sir Vivian Richards Stadium, North Sound, Antigua",North Sound,England,bat,England,,151,0
odi,2022-11-20,Thailand,Netherlands,Royal Chiangmai Golf Club,Chiang Mai,Netherlands,field,Thailand,,100,0
odi,2022-11-22,Thailand,Netherlands,Royal Chiangmai Golf Club,Chiang Mai,Thailand,bat,Thailand,,8,0
odi,2022-11-24,Thailand,Netherlands,Royal Chiangmai Golf Club,Chiang Mai,Netherlands,field,Thailand,,99,0
odi,2022-11-26,Netherlands,Thailand,Royal Chiangmai Golf Club,Chiang Mai,Netherlands,bat,Thailand,,0,7
odi,2023-01-16,Pakistan,Australia,"Allan Border Field, Brisbane",Brisbane,Australia,field,Australia,,0,8
odi,2023-01-18,Pakistan,Australia,"Allan Border Field, Brisbane",Brisbane,Pakistan,bat,Australia,,0,10
odi,2023-01-21,Australia,Pakistan,"North Sydney Oval, Sydney",Sydney,Pakistan,field,Australia,,101,0
odi,2023-01-18,Ireland,Zimbabwe,Harare Sports Club,Harare,Zimbabwe,field,Zimbabwe,,0,3
odi,2023-01-21,Ireland,Zimbabwe,Harare Sports Club,Harare,Zimbabwe,field,Ireland,,46,0
odi,2023-01-23,Zimbabwe,Ireland,Harare Sports Club,Harare,Zimbabwe,bat,,no result,0,0
odi,2023-01-10,India,Sri Lanka,"Barsapara Cricket Stadium, Guwahati",Guwahati,Sri Lanka,field,India,,67,0
odi,2023-01-12,Sri Lanka,India,"Eden Gardens, Kolkata",Kolkata,Sri Lanka,bat,India,,0,4
odi,2023-01-15,India,Sri Lanka,"Greenfield International Stadium, Thiruvananthapuram",Thiruvananthapuram,India,bat,India,,317,0
odi,2023-01-18,India,New Zealand,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",Hyderabad,India,bat,India,,12,0
odi,2023-01-21,New Zealand,India,"Shaheed Veer Narayan Singh International Stadium, Raipur",Raipur,India,field,India,,0,8
odi,2023-01-24,India,New Zealand,"Holkar Cricket Stadium, Indore",Indore,New Zealand,field,India,,90,0
odi,2023-03-17,Australia,India,"Wankhede Stadium, Mumbai",Mumbai,India,field,India,,0,5
odi,2023-03-19,India,Australia,"Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium, Visakhapatnam",Visakhapatnam,Australia,field,Australia,,0,10
odi,2023-03-22,Australia,India,"MA Chidambaram Stadium, Chepauk, Chennai",Chennai,Australia,bat,Australia,,21,0
odi,2023-03-01,Bangladesh,England,"Shere Bangla National Stadium, Mirpur",Dhaka,Bangladesh,bat,England,,0,3
odi,2023-03-03,England,Bangladesh,"Shere Bangla National Stadium, Mirpur",Dhaka,Bangladesh,field,England,,132,0
odi,2023-03-06,Bangladesh,England,"Zahur Ahmed Chowdhury Stadium, Chattogram",Chattogram,Bangladesh,bat,Bangladesh,,50,0
odi,2023-03-18,Bangladesh,Ireland,Sylhet International Cricket Stadium,Sylhet,Ireland,field,Bangladesh,,183,0
odi,2023-03-20,Bangladesh,Ireland,Sylhet International Cricket Stadium,Sylhet,Ireland,field,,no result,0,0
odi,2023-03-23,Ireland,Bangladesh,Sylhet International Cricket Stadium,Sylhet,Ireland,bat,Bangladesh,,0,10
odi,2023-02-14,Namibia,Nepal,"Tribhuvan University International Cricket Ground, Kirtipur",Kirtipur,Nepal,field,Nepal,,0,2
odi,2023-02-15,Namibia,Scotland,"Tribhuvan University International Cricket Ground, Kirtipur",Kirtipur,Scotland,field,Scotland,,0,10
odi,2023-02-17,Scotland,Nepal,"Tribhuvan University International Cricket Ground, Kirtipur",Kirtipur,Nepal,field,Nepal,,0,3
odi,2023-02-18,Namibia,Nepal,"Tribhuvan University International Cricket Ground, Kirtipur",Kirtipur,Nepal,field,Nepal,,0,3
odi,2023-02-20,Scotland,Namibia,"Tribhuvan University International Cricket Ground, Kirtipur",Kirtipur,Namibia,field,Scotland,,43,0
odi,2023-02-21,Scotland,Nepal,"Tribhuvan University International Cricket Ground, Kirtipur",Kirtipur,Nepal,field,Nepal,,0,2
odi,2023-02-23,Namibia,United Arab Emirates,Dubai International Cricket Stadium,Dubai,United Arab Emirates,field,United Arab Emirates,,0,1
odi,2023-02-25,United Arab Emirates,Namibia,Dubai International Cricket Stadium,Dubai,Namibia,field,Namibia,,0,7
odi,2023-02-28,Papua New Guinea,United Arab Emirates,Dubai International Cricket Stadium,Dubai,United Arab Emirates,field,Papua New Guinea,,131,0
odi,2023-03-02,United Arab Emirates,Nepal,Dubai International Cricket Stadium,Dubai,Nepal,field,United Arab Emirates,,68,0
odi,2023-03-03,Papua New Guinea,Nepal,Dubai International Cricket Stadium,Dubai,Papua New Guinea,bat,Nepal,,0,3
odi,2023-03-05,United Arab Emirates,Papua New Guinea,Dubai International Cricket Stadium,Dubai,Papua New Guinea,field,Papua New Guinea,,0,5
odi,2023-03-06,Nepal,United Arab Emirates,Dubai International Cricket Stadium,Dubai,Nepal,bat,Nepal,,42,0
odi,2023-03-09,Nepal,Papua New Guinea,"Tribhuvan University International Cricket Ground, Kirtipur",Kirtipur,Papua New Guinea,field,Nepal,,52,0
odi,2023-03-10,Papua New Guinea,United Arab Emirates,"Tribhuvan University International Cricket Ground, Kirtipur",Kirtipur,United Arab Emirates,field,Papua New Guinea,,56,0
odi,2023-03-12,Nepal,United Arab Emirates,"Tribhuvan University International Cricket Ground, Kirtipur",Kirtipur,Nepal,bat,Nepal,,177,0
odi,2023-03-13,Papua New Guinea,Nepal,"Tribhuvan University International Cricket Ground, Kirtipur",Kirtipur,Nepal,field,Nepal,,0,9
odi,2023-03-15,Papua New Guinea,United Arab Emirates,"Tribhuvan University International Cricket Ground, Kirtipur",Kirtipur,Papua New Guinea,bat,United Arab Emirates,,0,6
odi,2023-03-16,United Arab Emirates,Nepal,"Tribhuvan University International Cricket Ground, Kirtipur",Kirtipur,United Arab Emirates,bat,Nepal,,9,0
odi,2023-03-21,Zimbabwe,Netherlands,Harare Sports Club,Harare,Netherlands,field,Netherlands,,0,3
odi,2023-03-23,Zimbabwe,Netherlands,Harare Sports Club,Harare,Zimbabwe,bat,Zimbabwe,,1,0
odi,2023-03-25,Netherlands,Zimbabwe,Harare Sports Club,Harare,Netherlands,bat,Zimbabwe,,0,7
odi,2023-05-09,Bangladesh,Ireland,"County Ground, Chelmsford",Chelmsford,Ireland,field,,no result,0,0
odi,2023-05-12,Ireland,Bangladesh,"County Ground, Chelmsford",Chelmsford,Bangladesh,field,Bangladesh,,0,3
odi,2023-03-26,United States of America,Namibia,"Wanderers Cricket Ground, Windhoek",Windhoek,Namibia,field,United States of America,,80,0
odi,2023-03-27,United Arab Emirates,Papua New Guinea,"Wanderers Cricket Ground, Windhoek",Windhoek,Papua New Guinea,field,United Arab Emirates,,21,0
odi,2023-03-29,Canada,United States of America,"Wanderers Cricket Ground, Windhoek",Windhoek,United States of America,field,Canada,,26,0
odi,2023-03-30,Jersey,Namibia,"Wanderers Cricket Ground, Windhoek",Windhoek,Jersey,bat,Namibia,,0,8
odi,2023-03-30,United Arab Emirates,United States of America,"United Cricket Club Ground, Windhoek",Windhoek,United Arab Emirates,bat,United States of America,,0,5
odi,2023-04-01,Canada,United Arab Emirates,"Wanderers Cricket Ground, Windhoek",Windhoek,Canada,bat,United Arab Emirates,,0,6
odi,2023-04-01,Jersey,Papua New Guinea,"United Cricket Club Ground, Windhoek",Windhoek,Jersey,bat,Jersey,,11,0
odi,2023-04-02,United States of America,Papua New Guinea,"Wanderers Cricket Ground, Windhoek",Windhoek,United States of America,bat,United States of America,,117,0
odi,2023-04-02,United Arab Emirates,Namibia,"United Cricket Club Ground, Windhoek",Windhoek,Namibia,field,United Arab Emirates,,28,0
odi,2023-04-04,Namibia,Canada,"Wanderers Cricket Ground, Windhoek",Windhoek,Namibia,bat,Namibia,,111,0
odi,2023-04-04,United States of America,Jersey,"United Cricket Club Ground, Windhoek",Windhoek,Jersey,field,United States of America,,25,0
odi,2023-04-05,United Arab Emirates,Jersey,"Wanderers Cricket Ground, Windhoek",Windhoek,United Arab Emirates,bat,United Arab Emirates,,66,0
odi,2023-04-05,Canada,Papua New Guinea,"United Cricket Club Ground, Windhoek",Windhoek,Canada,bat,Canada,,90,0
odi,2023-05-14,Bangladesh,Ireland,"County Ground, Chelmsford",Chelmsford,Ireland,field,Bangladesh,,5,0
odi,2023-04-21,Nepal,Oman,"Tribhuvan University International Cricket Ground, Kirtipur",Kirtipur,Oman,field,Nepal,,84,0
odi,2023-04-29,United Arab Emirates,Oman,Mulpani Cricket Ground,Kathmandu,Oman,field,United Arab Emirates,,2,0
odi,2023-05-01,United Arab Emirates,Nepal,"Tribhuvan University International Cricket Ground, Kirtipur",Kirtipur,Nepal,field,Nepal,,0,7
odi,2023-04-19,Thailand,Zimbabwe,"Terdthai Cricket Ground, Bangkok",Bangkok,Thailand,bat,Thailand,,78,0
odi,2023-04-21,Thailand,Zimbabwe,"Terdthai Cricket Ground, Bangkok",Bangkok,Zimbabwe,field,Thailand,,45,0
